,微博id,微博发布者,微博发布者id,微博发布者性别,微博发布时间,微博发布来源,微博发布IP归属地,微博简介,认证状态,认证理由,content,like_cnt,comment_cnt,repost_cnt,fan_cnt
25,5064115490390651,Roraine,7777073079,f,2024-08-05 20:58:01,iQOO Z6,四川,在时间的拐角处 你的影子无处不在,False,,#陈丽君回应周深粉丝# 陈丽君无妄之灾 zs粉丝把陈丽君骂成什么样我都不好意思发截图,212,28,2,187
26,5064115533913709,深啊今天也听反深代词,3123996041,f,2024-08-05 20:58:13,反深代词·龙重登场,上海,我什么时候才能拥有周深二专to签合照！ 【除了特别备注🈲️搬运的视频，我的物料可以自行搬运/二创，但是需要标注出处，不可以抹掉我的水印,True,超话粉丝大咖（周深超话） 微博原创视频博主,#陈丽君回应周深粉丝# 凌晨看事情闹大了才跑上来就版权问题发微博道歉，但粉丝依旧不依不饶对原唱rsgj，现在还买水军妄图给自己洗白？还是想网暴素人？真不愧是唱反串的！咱就是说这水军质量不行啊，发出来的文案配图都一摸一样是怕别人不知道你花钱了吗@陈丽君_点绛唇,674,43,58,8271
27,5064115556714511,呵一壶,5765301757,f,2024-08-05 20:58:18,Android,江西,找不着北，也不能回头向南，山高水阔，来日方长！,False,,#陈丽君回应周深粉丝#请周深出来正确引导粉丝，不要造谣网曝陈丽君，从昨天到现在一直没有停止过@陈丽君_点绛唇,171,43,1,58
28,5064115567725291,浅尝一口粥可可_路人版,6313863323,f,2024-08-05 20:58:21,love深Android,广东,有事sx  镇魂,True,娱乐博主,#陈丽君回应周深粉丝# 来都来了，见识一下文盲大赏 劝姐姐好好学一下九年义务教育再来吧 猫的尾巴可以变小猫的微博视频,69,2,4,1.4万
29,5064115638769384,马过过过,5261676050,f,2024-08-05 20:58:38,iPhone 13,湖南,我是陈丽君脑,False,,#陈丽君回应周深粉丝##请周深粉丝停止造谣# 陈丽君真的体面，这格局大，天王老子来了 陈丽君都是受害者还被zs粉丝无故辱骂,104,5,2,1万
30,5064115664193826,王牌小凯,6588317774,f,2024-08-05 20:58:44,HUAWEI P30,山东,塞翁失马，焉知祸福 缘来则聚缘去则散,False,,#陈丽君回应周深粉丝#有图有真相，看看都是什么人品，@卡布叻_周深 真是小人呀！,217,32,10,83
31,5064115695129560,喻吝君颖,6314999015,f,2024-08-05 20:58:51,iPhone 15,马来西亚,,True,娱乐博主,"#陈丽君回应周深粉丝#
1️⃣周深粉丝说版权，主办方及陈丽君回应并无版权问题
2️⃣周深粉丝说未标明原唱，陈丽君给出澄清且节目完整版有清楚的标明
3️⃣在陈丽君澄清的这段时间周深在干吗？周深在鼓励粉丝网暴无背景的越剧演员
4️⃣周深团队下场手段下作，炸热门热转无所不用其极
5️⃣周深粉丝造谣侮辱女性",222,28,34,1.5万
32,5064115708760273,泰兰德的公主莎,5532547437,f,2024-08-05 20:58:54,iPhone 14 Pro,日本,爱是有回应的山谷,True,娱乐博主,"#陈丽君回应周深粉丝#
让大家看看周深和他粉丝的嘴脸。事情起源陈丽君在百花颁奖典礼上演唱电影浮生主题曲，为串联上一节目，中间引用了定风波的唱词，却被周深粉丝大批量追着造谣辱骂本人。

1.百花颁奖礼上仅两句词的表演跟主办方确认过，已授权没有版权问题。字幕未标注原唱是因为内娱从未有这方面的要求见P1、2。

2.多年前受邀拍宣传片标注了来源，何况就只唱了两句何来的偷歌一说，见P3

3.抖音配文中的光亮就是字面意思见P4

4. 【在转发有翻唱内容的节目视频时没有注明原唱】路人走过看到觉得这真的是过错么？陈丽君无妄之灾仍选择正确引导粉丝谨言慎行罢了，高下立见见P5

周深粉丝从昨日陈丽君百花表演后，一直胡搅蛮缠，艾特陈丽君本人骂的理由没有一个站得住脚见p6

周深本人及团队行为见789，原来真正偷歌未经授权就商业使用还人身攻击她人的是周深本人！

周深粉丝试图模糊视线泼脏水来本人微博底下撒泼。孰是孰非相信大家自有判断。陈丽君人好不是你们可以任意辱骂的理由。

请@卡布叻_周深 出来道歉，正确引导粉丝！！ 一个混迹娱乐圈多年遇到问题却只会躲在粉丝背后的男人算什么男人？",16261,1993,5885,1.5万
33,5064115749917512,大土豆你个破忒头_,6761369485,f,2024-08-05 20:59:04,iPhone 15 Pro Max,福建,橙粒俊要永远健康平安⭐️✨,True,微博原创视频博主,#陈丽君回应周深粉丝# 周深作为公众人物默认甚至怂恿粉丝对最无辜的陈丽君进行无休止的🕸️暴 良心何在,45,9,33,1.1万
34,5064115810994117,猫的尾巴可以变小猫,5652441505,m,2024-08-05 20:59:19,尊嘟超爱你,浙江,此人很复杂 简介不了  镇魂,True,摄影博主 超话创作官（周深超话）,#陈丽君回应周深粉丝#吃瓜路人来看咯 来看绝望文盲陈丽君偷歌后滑跪道歉 其粉丝撒泼不成给普通女网友造黄谣 不会都是@陈丽君_点绛唇 教的吧 弹性爱女真有一套,34,6,3,1.2万
35,5064115841925283,鲸中呦鹿鸣,3195812893,f,2024-08-05 20:59:25,啾啾啾~Android,山东,爱啾星！,False,,#陈丽君回应周深粉丝#这就是没团队没资本没营销的小姐姐吗？还知道买yxh开始岁月史书了？偷换概念改歌名都两三年了！别的平台搜你陈丽君的大名后面自动出现定风波的难道不是你？你粉丝硬把《光亮》说成《定风波》你什么也不知道？好单纯呢！,193,5,12,28
